MOHCD Development ID,Development Name,Planning Approval Address,Marketing Address,Development Zip Code,Latitude and Longitude (Latitude),Latitude and Longitude (Longitude),Supervisor District,City Analysis Neighborhood,Planning Neighborhood,OCII Project Area,Lead Agency,Tenure,Development Type,Housing Program,Estimated/Actual Construction Start Date,# Income-Restricted Residential Units,# SRO Units,# Studios Units,# 1 Bedroom Units,# 2 Bedroom Units,# 3 Bedroom Units,# 4 Bedroom Units,# 5+ Bedroom Units,# Senior Units,# TAY Units,# Homeless Units,# LOSP Units,# VASH Units,# Market Rate Units,# Manager Units,Location
2016-036,Dudley Apartments,172 6th St,172 6th St,94103,37.7799396,-122.4076559,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,09/05/2018,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4076559 37.7799396)
1982-006,Dunleavy Plaza,36 Hoff St,36 Hoff St,94110,37.7647283,-122.4207557,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,,49,0,0,17,32,0,0,0,0,0,0,0,0,0,1,POINT (-122.4207557 37.7647283)
2018-023,Eastern Park Apartments,711 Eddy St,711 Eddy St,94102,37.7826593,-122.4193399,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Securities Program,,201,0,0,201,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4193399 37.7826593)
2007-003,Eddy & Taylor Family Housing,210 Taylor St,222 Taylor St,94102,37.78443,-122.41067,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,06/28/2017,113,0,16,14,68,15,0,0,0,0,30,23,0,0,1,POINT (-122.41067 37.78443)
1992-012,Eddy Street Apartments,1096 Eddy St,1096 Eddy St,94109,37.782546,-122.425809,2,Western Addition,Western Addition,Not in an OCII Project Area,SFRA,Rental,New Construction,Multifamily Rental Program,,21,0,0,21,0,0,0,0,0,0,0,0,0,0,1,POINT (-122.425809 37.782546)
2003-031,Edith Witt Senior Community,66 9th St,66 9th St,94103,37.7764593,-122.4155348,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Multifamily Rental Program,,107,0,20,86,0,1,0,0,0,0,12,12,0,0,1,POINT (-122.4155348 37.7764593)
2010-001,Edward II,3155 Scott St,3151-3155 Scott St,94123,37.7988168,-122.4413212,2,Marina,Marina,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,11/25/2013,24,24,0,0,0,0,0,0,0,0,24,24,0,0,0,POINT (-122.4413212 37.7988168)
2015-007,Edwin M. Lee Apartments,1150 3rd St,1150 3rd St,94158,37.7733112,-122.3900282,6,Mission Bay,South of Market,Mission Bay,OCII,Rental,New Construction,Multifamily Rental Program,12/26/2017,119,0,12,55,31,21,0,0,0,0,7,0,0,0,1,POINT (-122.3900282 37.7733112)
1989-012,El Dorado,150 9th St,150 9th St,94103,37.7754439,-122.4140797,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD/SFRA,Rental,Rehabilitation,Multifamily Rental Program,,57,57,0,0,0,0,0,0,0,0,10,0,0,0,0,POINT (-122.4140797 37.7754439)
1998-009,Ellis Street Apartments,864 Ellis St,864 Ellis St,94109,37.784128,-122.420462,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD/SFRA,Rental,Rehabilitation,Multifamily Rental Program,,25,0,25,0,0,0,0,0,0,0,0,0,0,0,1,POINT (-122.420462 37.784128)
1988-008,Embarcadero Triangle (Parcel J),600 The Embarcadero,600 The Embarcadero,94111,37.7843081,-122.3885411,6,Financial District/South Beach,South of Market,Rincon Point-South Beach,MOHCD,Rental,New Construction,Multifamily Rental Program,,177,0,96,37,44,0,0,0,0,0,0,0,0,0,0,POINT (-122.3885411 37.7843081)
1998-011,Eugene Coleman Senior Community,328 Tehama St,328 Tehama St,94103,37.7825468,-122.4033,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Multifamily Rental Program,,85,0,57,28,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4033 37.7825468)
2008-034,Excelsior Teen Center,4466-4468 Mission St,4466-4468 Mission St,94112,37.7263196,-122.433858,11,Outer Mission,Outer Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,POINT (-122.433858 37.7263196)
1994-004,Fannie Lou Hamer House,1221 Cortland Ave,1221 Cortland Ave,94110,37.7399717,-122.4117574,9,Bernal Heights,Bernal Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,POINT (-122.4117574 37.7399717)
1990-014,Fell Street Apartments,337-375 Fell St,333 Fell St,94102,37.7755775,-122.4234801,5,Hayes Valley,Western Addition,Not in an OCII Project Area,SFRA,Rental,New Construction,Multifamily Rental Program,,82,0,4,20,24,34,0,0,0,0,0,0,0,0,1,POINT (-122.4234801 37.7755775)
2008-032,Ferguson Place,1249 Scott St,1249 Scott St,94115,37.7815764,-122.437594,5,Western Addition,Western Addition,Western Addition-Area 2,SFRA,Rental,Rehabilitation,Transitional,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.437594 37.7815764)
1984-008,Fillmore Center,1475 Fillmore St,1475 Fillmore St,94115,37.7829012,-122.4331683,5,Western Addition,Western Addition,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Acquisition-Preservation Program,,191,0,45,71,72,3,0,0,0,0,0,0,0,0,0,POINT (-122.4331683 37.7829012)
1990-013,Fillmore Marketplace Apartments,1223 Webster St,1223 Webster St,94115,37.782251,-122.4312176,5,Western Addition,Western Addition,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,03/29/2021,120,0,0,29,29,62,0,0,0,0,0,0,0,0,2,POINT (-122.4312176 37.782251)
2010-004,Five88,588 Mission Bay Blvd North,588 Mission Bay Blvd North,94158,37.77117,-122.3906,6,Mission Bay,South of Market,Mission Bay,OCII,Rental,New Construction,Multifamily Rental Program,05/05/2015,200,0,0,72,128,0,0,0,0,0,0,0,0,0,2,POINT (-122.3906 37.77117)
2011-007,Franciscan Towers,217 Eddy St,217 Eddy St,94102,37.7839854,-122.4113046,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD/SFRA,Rental,Rehabilitation,Multifamily Rental Program,05/06/2014,105,0,94,11,0,0,0,0,0,0,35,0,0,0,1,POINT (-122.4113046 37.7839854)
2015-069,Frederick Douglas Haynes Gardens,1049 Golden Gate Ave,1049 Golden Gate Ave,94115,37.7796744,-122.4278345,5,Western Addition,Western Addition,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Securities Program,,103,0,0,27,40,27,9,0,0,0,0,0,0,0,0,POINT (-122.4278345 37.7796744)
1999-014,Friendship House,56 Julian Ave,56 Julian Ave,94103,37.7673672,-122.4213751,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,New Construction,Transitional,,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4213751 37.7673672)
1993-012,Gabreila Apartments,583-587 Natoma St,583-587 Natoma St,94103,37.7786417,-122.4094532,6,South of Market,South of Market,Not in an OCII Project Area,SFRA,Rental,New Construction,Multifamily Rental Program,,29,0,0,4,9,12,3,1,0,0,0,0,0,0,0,POINT (-122.4094532 37.7786417)
2016-032,Garden Court Apartments,1637 15th St,1637 15th St,94103,37.7663621,-122.4205132,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,06/30/2017,16,0,10,6,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4205132 37.7663621)
1988-005,Geary Courtyard,639 Geary St,639 Geary St,94102,37.7863363,-122.4136764,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Securities Program,,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4136764 37.7863363)
2000-002,Geary Terraces North,6900 Geary Blvd,499 33rd Ave,94109,37.7800251,-122.4934688,1,Outer Richmond,Outer Richmond,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,POINT (-122.4934688 37.7800251)
1995-015,Geraldine Johnson Manor,5545 3rd St,5545 3rd St,94124,37.7270831,-122.3932372,10,Bayview Hunters Point,Bayview,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,,54,0,0,53,1,0,0,0,0,0,0,0,0,0,0,POINT (-122.3932372 37.7270831)
2005-007,Glasdore Lofts,30 Dore St,30 Dore St,94103,37.7739854,-122.4134109,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,POINT (-122.4134109 37.7739854)
1994-012,Glenridge Apartments,9 Berkeley Way,9 Berkeley Way,94131,37.7385943,-122.4371469,8,Glen Park,Diamond Heights,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Multifamily Rental Program,,275,0,0,52,105,111,7,0,0,0,0,0,0,0,1,POINT (-122.4371469 37.7385943)
1998-013,Golden Gate Apartments,1820 Post St,1820 Post St,94115,37.7856389,-122.4320374,5,Japantown,Western Addition,Western Addition-Area 2,SFRA,Rental,Rehabilitation,Multifamily Rental Program,,72,0,5,13,26,19,9,0,0,0,0,0,0,0,1,POINT (-122.4320374 37.7856389)
1992-013,Good Samaritan Apartments,1290-1294 Potrero Ave,1290-1294 Potrero Ave,94110,37.7520427,-122.406486,9,Mission,Mission,Not in an OCII Project Area,SFRA,Rental,New Construction,Multifamily Rental Program,,20,0,0,2,5,7,6,0,0,0,2,0,0,0,1,POINT (-122.406486 37.7520427)
1994-006b,Goodman II - Rental,300 Arkansas St,1695 18th St,94107,37.7622332,-122.3990739,10,Potrero Hill,Potrero Hill,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Multifamily Rental Program,,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.3990739 37.7622332)
2020-042,Granada Hotel,1000 Sutter St,1000 Sutter St,94109,37.78831,-122.4173,3,Nob Hill,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,230,230,0,0,0,0,0,0,0,0,230,0,0,0,0,POINT (-122.4173 37.78831)
2020-004,Grove Street House,2153-2157 Grove St,2153 - 2157 Grove St,94117,37.7738558,-122.4520492,5,Lone Mountain/USF,Haight Ashbury,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,08/01/2021,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4520492 37.7738558)
2010-023,Gum Moon Residence Hall,0 Confidential,Confidential,Confidential,0,0,3,Confidential,0,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Transitional,,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (0 0)
