MOHCD Development ID,Development Name,Planning Approval Address,Marketing Address,Development Zip Code,Latitude and Longitude (Latitude),Latitude and Longitude (Longitude),Supervisor District,City Analysis Neighborhood,Planning Neighborhood,OCII Project Area,Lead Agency,Tenure,Development Type,Housing Program,Estimated/Actual Construction Start Date,# Income-Restricted Residential Units,# SRO Units,# Studios Units,# 1 Bedroom Units,# 2 Bedroom Units,# 3 Bedroom Units,# 4 Bedroom Units,# 5+ Bedroom Units,# Senior Units,# TAY Units,# Homeless Units,# LOSP Units,# VASH Units,# Market Rate Units,# Manager Units,Location
2013-058,100 Van Ness Apartments,100 Van Ness Ave,100 Van Ness Ave,94102,37.7767202,-122.4192082,6,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,09/20/2016,50,0,6,26,18,0,0,0,0,0,0,0,0,0,0,POINT (-122.4192082 37.7767202)
2016-109,1001 Van Ness,1001 Van Ness Ave,1001 Van Ness Ave,94109,37.7849729,-122.4218618,2,Western Addition,Western Addition,Not in an OCII Project Area,MOHCD,Exempt Project,New Construction,Inclusionary Housing Program,10/19/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4218618 37.7849729)
1996-015,1005 Larkin,1005 Larkin St,1005 Larkin St,94109,37.787133,-122.4184519,3,Nob Hill,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4184519 37.787133)
2021-014,1005 Powell,1009 Powell St,1005 Powell Street,94108,37.7940883,-122.4097954,3,Nob Hill,Nob Hill,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Big Sites Program,,63,64,0,0,0,0,0,0,63,0,0,0,0,0,0,POINT (-122.4097954 37.7940883)
2017-003,1015 Shotwell,1015 Shotwell St,1015 Shotwell St,94110,37.7519166,-122.4148932,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,09/13/2017,10,0,2,7,1,0,0,0,0,0,0,0,0,0,0,POINT (-122.4148932 37.7519166)
1992-014,1028 Howard,1028 Howard St,1028 Howard St,94103,37.779469,-122.407922,6,South of Market,South of Market,South of Market,SFRA,Rental,New Construction,Multifamily Rental Program,,30,0,0,5,11,14,0,0,0,0,0,0,0,0,1,POINT (-122.407922 37.779469)
2017-009,1028 Market Street,1028 Market St,1028 Market St,94102,37.7818338,-122.4112267,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,06/07/2019,26,0,13,6,7,0,0,0,0,0,0,0,0,0,0,POINT (-122.4112267 37.7818338)
2006-001,1036 Mission,1036 Mission St,1036 Mission St,94103,37.7804543,-122.4097045,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Multifamily Rental Program,06/08/2016,83,0,0,38,38,7,0,0,0,0,40,15,0,0,0,POINT (-122.4097045 37.7804543)
2018-050,1049 Market,1049 Market St,1049 Market St,94103,37.7812365,-122.4111989,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,12/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4111989 37.7812365)
2017-039,1064 Mission,1064-1068 Mission St,1064-1068 Mission St,94103,37.7804705,-122.4103578,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,03/16/2020,256,0,254,2,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4103578 37.7804705)
2004-024,10th & Mission Family Housing,1390 Mission St,1390 Mission St,94103,37.7756242,-122.4158817,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Multifamily Rental Program,,136,0,0,34,42,60,0,0,0,0,44,44,0,0,1,POINT (-122.4158817 37.7756242)
2009-001,1100 Ocean,1100 Ocean Ave,1100 Ocean Ave,94112,37.72373,-122.45358,7,West of Twin Peaks,West of Twin Peaks,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Multifamily Rental Program,06/14/2013,71,0,18,18,21,14,0,0,0,0,25,20,0,0,1,POINT (-122.45358 37.72373)
2012-019a,1101 Connecticut,1101 Connecticut St,1101 Connecticut St,94107,37.7521112,-122.3960203,10,Bayview Hunters Point,Potrero Hill,Not in an OCII Project Area,MOHCD,Rental,New Construction,HOPE SF,12/13/2016,72,0,2,10,51,9,0,0,0,0,0,0,0,0,0,POINT (-122.3960203 37.7521112)
1991-010,1101 Howard,1101 Howard St,1101 Howard St,94103,37.7776665,-122.4094286,6,South of Market,South of Market,Not in an OCII Project Area,SFRA,Rental,New Construction,Multifamily Rental Program,,34,0,0,6,14,14,0,0,0,0,0,0,0,0,1,POINT (-122.4094286 37.7776665)
2016-001,111 Jones Street Apartments,111 Jones St,111 Jones St,94102,37.78223,-122.41244,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Multifamily Rental Program,,108,0,8,64,16,20,0,0,0,0,0,0,0,0,0,POINT (-122.41244 37.78223)
2023-019,1130 Filbert,1130 Filbert St,1130 Filbert St,94109,37.80049,-122.41817,3,Russian Hill,Russian Hill,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,POINT (-122.41817 37.80049)
1992-003,1130 Mariposa,1130 Mariposa St,1130 Mariposa St,94107,37.7641398,-122.3952985,10,Potrero Hill,Potrero Hill,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.3952985 37.7641398)
2021-021,1140-1142 Florida,1140-1142 Florida St,1140 Florida St,94110,37.753641,-122.41043,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,POINT (-122.41043 37.753641)
1998-001,118 Wood,2743-2761 Geary Blvd,118 Wood St,94103,37.7819183,-122.448817,2,Lone Mountain/USF,Inner Richmond,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,POINT (-122.448817 37.7819183)
2008-002,1180 4th,1180 4th St,1180 4th St,94158,37.77369,-122.39171,6,Mission Bay,South of Market,Mission Bay,SFRA,Rental,New Construction,Multifamily Rental Program,01/13/2012,150,0,0,43,53,54,0,0,0,0,47,47,0,0,1,POINT (-122.39171 37.77369)
2017-052,1201 Powell Street,1201 Powell St,1201 Powell St,94133,37.7957415,-122.4101738,3,Chinatown,Nob Hill,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,11/23/2020,17,0,13,4,0,0,0,0,0,0,0,0,0,0,1,POINT (-122.4101738 37.7957415)
2006-027,125 Mason,125 Mason St,125 Mason St,94102,37.78478,-122.4098,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Bond Financed Inclusionary Housing,,80,0,0,22,34,20,5,0,0,0,0,0,0,1,1,POINT (-122.4098 37.78478)
2016-029,1301 16th,1301 16th St,1301 16th St,94103,37.7660661,-122.400246,10,Mission Bay,Potrero Hill,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,12/18/2017,29,0,4,13,11,1,0,0,0,0,0,0,0,0,0,POINT (-122.400246 37.7660661)
2000-006,1311 43rd,1311 43rd Ave,1311 43rd Ave,94122,37.7621579,-122.5031034,4,Sunset/Parkside,Outer Sunset,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.5031034 37.7621579)
2013-057,1321 Mission /104 9th,1321 Mission St,1321 Mission St,94105,37.7759323,-122.4148474,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Exempt Project,New Construction,Inclusionary Housing Program,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4148474 37.7759323)
2013-063,1335 Folsom Street,1335 Folsom St,1335 Folsom St,94103,37.7732692,-122.4118894,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,04/28/2017,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4118894 37.7732692)
2000-015,1340 Portola,1340 Portola Dr,1340 Portola Dr,94127,37.7401056,-122.4646588,7,West of Twin Peaks,West of Twin Peaks,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4646588 37.7401056)
2020-022,1353 Stevenson,1353 Stevenson St,1353-1357A Stevenson St,94103,37.770713,-122.421464,6,Mission,South of Market,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,,7,0,0,1,6,0,0,0,0,0,0,0,0,0,0,POINT (-122.421464 37.770713)
2015-015,1353-1357 Folsom,1353-1357 Folsom St,1353-1357 Folsom St,94103,37.772992,-122.412158,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,10/21/2016,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,POINT (-122.412158 37.772992)
1993-004,1370 California Street Apartments,1370 California St,1370 California St,94109,37.7913073,-122.4169969,3,Nob Hill,Nob Hill,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,49,0,25,22,1,1,0,0,0,0,0,0,0,0,1,POINT (-122.4169969 37.7913073)
2020-021,1382 30th Ave,1382 30th Ave,1382 30th Ave,94122,37.7615304,-122.4886264,4,Sunset/Parkside,Outer Sunset,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,08/06/2020,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4886264 37.7615304)
2021-013,139 Dore,139 Dore St,139 Dore St,94103,37.7729774,-122.4116719,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,POINT (-122.4116719 37.7729774)
2013-059b,1400 Mission-Rental,1400 Mission St,1400 Mission St,94103,37.77528,-122.41649,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,23,0,1,13,8,1,0,0,0,0,0,0,0,0,0,POINT (-122.41649 37.77528)
2017-013,1411 Florida Street,1411 Florida St,1411 Florida St,94110,37.7492289,-122.4095835,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,01/25/2018,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,POINT (-122.4095835 37.7492289)
1998-026a,1415 Indiana-Rental,1415 Indiana St,1415 Indiana St,94107,37.7523234,-122.3902739,10,Bayview Hunters Point,Potrero Hill,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,06/20/2000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.3902739 37.7523234)
2015-032,145 Leavenworth,145 Leavenworth St,145 Leavenworth St,94102,37.7823062,-122.4141667,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,07/07/2017,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4141667 37.7823062)
2015-044,1463 Lombard,1463 Lombard St,1463 Lombard St,94123,37.80089147,-122.4255467,2,Marina,Marina,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,12/29/2016,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4255467 37.80089147)
2005-034,149 Mason Street Apartments,149 Mason St,149 Mason St,94102,37.7850296,-122.4096941,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,,56,0,56,0,0,0,0,0,0,0,56,56,0,0,0,POINT (-122.4096941 37.7850296)
2015-033b,1491 Sunnydale Avenue (Casala aka Parcel Q),1477-1497 Sunnydale Ave,1491 Sunnydale Ave,94134,37.71163,-122.41589,10,Visitacion Valley,Visitacion Valley,Not in an OCII Project Area,MOHCD,Rental,New Construction,HOPE SF,01/05/2018,13,0,2,3,5,3,0,0,0,0,0,0,0,0,0,POINT (-122.41589 37.71163)
2015-009,150 Van Ness Apartments,150 Van Ness Ave,150 Van Ness Ave,94102,37.77713405,-122.4188229,6,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,11/15/2016,50,0,3,27,18,2,0,0,0,0,0,0,0,0,0,POINT (-122.4188229 37.77713405)
2016-025,1500 Cortland,1500 Cortland Ave,1500 Cortland Ave,94110,37.7395965,-122.4093416,9,Bernal Heights,Bernal Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,06/12/2017,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,POINT (-122.4093416 37.7395965)
2014-026,151 Duboce,149-151 Duboce Ave,149-151 Duboce Ave,94103,37.769568,-122.423459,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,11/01/2015,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.423459 37.769568)
2019-010,1535 Jackson,1535 Jackson St,1535 Jackson St,94109,37.794194,-122.420356,3,Russian Hill,Nob Hill,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Big Sites Program,,30,29,0,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.420356 37.794194)
2014-019,1550 Mission,1500 Mission St,1550 Mission St,94103,37.7736962,-122.4181816,6,Mission,South of Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Bond Financed Inclusionary Housing,03/21/2018,110,0,40,29,39,2,0,0,0,0,0,0,0,0,0,POINT (-122.4181816 37.7736962)
2013-014,1601 Mariposa,1601 Mariposa St,1601 Mariposa St,94107,37.7635701,-122.3999036,10,Potrero Hill,Potrero Hill,Not in an OCII Project Area,MOHCD,Rental,New Construction,Bond Financed Inclusionary Housing,07/18/2017,60,0,15,18,23,4,0,0,0,0,0,0,0,0,0,POINT (-122.3999036 37.7635701)
2010-029,16-26 Highland,26 Highland Av,16-26 Highland Ave,94110,37.7371573,-122.4250655,8,Bernal Heights,Bernal Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Condo Conversion Program,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4250655 37.7371573)
2021-010,168 Sickles,168 Sickles Ave,168 Sickles Ave,94112,37.7099847,-122.4539336,11,Outer Mission,Outer Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,07/23/2021,12,0,0,5,7,0,0,0,0,0,0,0,0,0,0,POINT (-122.4539336 37.7099847)
2015-013,1684 - 1688 Grove Street,1684-1688 Grove St,1684-1688 Grove St,94117,37.7752615,-122.4443605,5,Lone Mountain/USF,Haight Ashbury,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,07/07/2016,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,POINT (-122.4443605 37.7752615)
2015-027,1700 Market Street,1700 Market St,1 Haight St,94102,37.7730165,-122.4224586,6,Hayes Valley,Western Addition,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,03/14/2019,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,POINT (-122.4224586 37.7730165)
1988-003,1738 Mission,1738 Mission St,1738 Mission St,94103,37.769257,-122.42039,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,10,0,0,4,0,2,4,0,0,0,0,0,0,0,0,POINT (-122.42039 37.769257)
2013-038,1750 McAllister,1750 McAllister St,1750 McAllister St,94115,37.7777626,-122.4408982,5,Western Addition,Western Addition,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Rental Assistance Demonstration Program,11/01/2016,97,0,75,21,1,0,0,0,0,0,0,0,0,0,0,POINT (-122.4408982 37.7777626)
2013-034,1760 Bush,1760 Bush St,1760 Bush St,94109,37.788227,-122.4262861,5,Pacific Heights,Western Addition,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Rental Assistance Demonstration Program,11/18/2016,108,0,83,24,1,0,0,0,0,0,0,0,0,0,1,POINT (-122.4262861 37.788227)
1993-014,1761-1765 Page,1761 Page St,1761 Page St,94117,37.77033,-122.449661,5,Haight Ashbury,Haight Ashbury,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Multifamily Rental Program,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.449661 37.77033)
2016-131,1801 Mission Street,1801 Mission St,1801 Mission St,94110,37.7680331,-122.4196939,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,06/04/2018,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,POINT (-122.4196939 37.7680331)
2010-035,1854 Vallejo,1854 Vallejo St,1854 Vallejo St,94123,37.7963919,-122.4278631,2,Marina,Pacific Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Condo Conversion Program,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4278631 37.7963919)
2018-040,1863 Mission,1863 Mission St,1863 Mission St,94103,37.7673387,-122.419687,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,06/20/2019,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,POINT (-122.419687 37.7673387)
2018-027,"188 Hooper St (1140 7th St, 1111 8th St)",188 Hooper St,188 Hooper St,94103,37.7676613,-122.4006041,6,Mission Bay,South of Market,Not in an OCII Project Area,MOHCD,Exempt Project,New Construction,Inclusionary Housing Program,12/17/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4006041 37.7676613)
2013-023,1880 Pine,1880 Pine St,1880 Pine St,94109,37.7891236,-122.4266359,2,Pacific Heights,Western Addition,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Rental Assistance Demonstration Program,11/01/2015,113,0,97,15,1,0,0,0,0,0,0,0,0,0,1,POINT (-122.4266359 37.7891236)
2017-014,19 Precita,19-23 Precita Ave,19-23 Precita Ave,94110,37.746966,-122.418468,9,Bernal Heights,Bernal Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,05/28/2018,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,POINT (-122.418468 37.746966)
1993-005,1912 McAllister,1912 McAllister St,1912 McAllister St,94115,37.7772757,-122.4437084,2,Lone Mountain/USF,Western Addition,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Transitional,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4437084 37.7772757)
2013-046,1950 Mission,1950 Mission St,1950 Mission St,94103,37.76593,-122.42005,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,12/28/2018,155,0,32,36,73,14,0,0,0,0,0,0,0,0,2,POINT (-122.42005 37.76593)
2016-071,1990 Folsom,1990 Folsom St,1990 Folsom St,94103,37.765552,-122.415899,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,03/15/2019,104,0,23,41,37,3,0,0,0,0,0,0,0,0,0,POINT (-122.415899 37.765552)
2018-029,200 Van Ness Ave,200 Van Ness Ave,200 Van Ness Ave,94102,37.7775208,-122.4194604,6,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Exempt Project,New Construction,Inclusionary Housing Program,12/12/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4194604 37.7775208)
2003-004b,2000 Post ADUs,2000 Post St,2000 Post St,94115,37.78527,-122.4357,5,Japantown,Western Addition,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4357 37.78527)
2003-004a,2000 Post Apartments,2000 Post St,2000 Post St,94115,37.78527,-122.4357,5,Japantown,Western Addition,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4357 37.78527)
1988-015,2029 Pierce,2029 Pierce St,2029 Pierce St,94115,37.788963,-122.4375008,2,Pacific Heights,Pacific Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Condo Conversion Program,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4375008 37.788963)
1993-007,205 Jones Street Apartments,205 Jones St,205 Jones St,94102,37.7831929,-122.4126124,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,50,0,50,0,0,0,0,0,0,0,0,0,0,0,1,POINT (-122.4126124 37.7831929)
2010-031,2100 Lyon,2100 Lyon St,2100 Lyon St,94115,37.7903566,-122.4457982,2,Pacific Heights,Pacific Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Condo Conversion Program,,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4457982 37.7903566)
2016-009,2100 Market,2100 Market St,2100 Market St,94114,37.7675686,-122.4293618,8,Castro/Upper Market,Castro/Upper Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,02/24/2017,8,0,0,5,3,0,0,0,0,0,0,0,0,0,0,POINT (-122.4293618 37.7675686)
2000-010,214 Dolores,214 Dolores St,214 Dolores St,94114,37.7659252,-122.4269718,8,Castro/Upper Market,Castro/Upper Market,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Multifamily Rental Program,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4269718 37.7659252)
2012-026,2175 Market,2175 Market St,2175 Market St,94114,37.7663383,-122.4300466,8,Castro/Upper Market,Castro/Upper Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Bond Financed Inclusionary Housing,05/21/2013,20,0,0,12,8,0,0,0,0,0,0,0,0,0,1,POINT (-122.4300466 37.7663383)
2009-022,2186 Vallejo,2186 Vallejo St,2186 Vallejo St,94123,37.7957163,-122.4332097,2,Marina,Pacific Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Condo Conversion Program,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4332097 37.7957163)
2016-024,22 Franklin,22 Franklin St,22 Franklin St,94102,37.774757,-122.4206092,6,Hayes Valley,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,12/19/2016,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,POINT (-122.4206092 37.774757)
2017-005,2217 Mission Street,2217-2221 Mission St,2217 Mission St,94110,37.7614775,-122.4190126,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,07/18/2018,8,0,0,7,1,0,0,0,0,0,0,0,0,0,0,POINT (-122.4190126 37.7614775)
2018-026,2255 Taraval St,2255 Taraval St,2410 33rd Ave,94116,37.7421094,-122.4904398,4,Sunset/Parkside,Parkside,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,04/18/2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,POINT (-122.4904398 37.7421094)
2020-003,2260 Mission,2260 Mission St,2260 Mission St,94110,37.760857,-122.4195987,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4195987 37.760857)
2013-026,227 Bay,227 Bay St,227 Bay St,94133,37.805618,-122.411296,3,North Beach,North Beach,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Rental Assistance Demonstration Program,11/01/2015,50,0,48,2,0,0,0,0,0,0,0,0,0,0,1,POINT (-122.411296 37.805618)
1994-008,2300 Van Ness,2300 Van Ness Ave,2300 Van Ness Ave,94109,37.7969637,-122.4234103,3,Russian Hill,Russian Hill,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,22,0,0,6,8,6,2,0,0,0,0,0,0,0,0,POINT (-122.4234103 37.7969637)
2018-012,235 Valencia St,235 Valencia St,235 Valencia St,94103,37.7692142,-122.4219061,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,04/01/2019,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,POINT (-122.4219061 37.7692142)
2019-030,239 Clayton,239 Clayton St,239 Clayton St,94117,37.772982,-122.4493999,5,Lone Mountain/USF,Haight Ashbury,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,05/07/2022,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4493999 37.772982)
2013-032,25 Sanchez,25 Sanchez St,25 Sanchez St,94114,37.7689424,-122.4310199,8,Castro/Upper Market,Castro/Upper Market,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Rental Assistance Demonstration Program,12/01/2015,91,0,75,16,0,0,0,0,0,0,0,0,0,0,1,POINT (-122.4310199 37.7689424)
2013-051,250 Fremont,250 Fremont St,250 Fremont St,94105,37.7880426,-122.3942266,6,Financial District/South Beach,Financial District,Transbay,OCII,Rental,New Construction,Multifamily Rental Program,03/06/2019,80,0,0,40,16,24,0,0,0,0,0,0,0,0,1,POINT (-122.3942266 37.7880426)
2002-011,2545 Judah,2545 Judah St,2545 Judah St,94122,37.761033,-122.4895079,4,Sunset/Parkside,Outer Sunset,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,POINT (-122.4895079 37.761033)
2013-022,255 Woodside,255 Woodside Ave,255 Woodside Ave,94131,37.7466664,-122.4552605,7,Twin Peaks,Twin Peaks,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Rental Assistance Demonstration Program,12/01/2015,109,0,87,22,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4552605 37.7466664)
2020-029,2676 Folsom,2676 Folsom St,2676 Folsom St,94110,37.7544788,-122.414647,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,10/12/2020,10,0,0,2,7,1,0,0,0,0,0,0,0,0,0,POINT (-122.414647 37.7544788)
2016-120,269-271 Richland,269 Richland Ave,269 & 271 Richland Ave,94110,37.7359249,-122.4211863,9,Bernal Heights,Bernal Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,01/15/2018,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,POINT (-122.4211863 37.7359249)
2013-035,2698 California,2698 California St,2698 California St,94115,37.7884855,-122.4386288,2,Pacific Heights,Pacific Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Rental Assistance Demonstration Program,10/24/2016,40,0,31,9,0,0,0,0,0,0,0,0,0,0,1,POINT (-122.4386288 37.7884855)
1997-009,26th Street Cooperative Apartments,3327-3331 26th St,3327-3331 26th St,94110,37.7489217,-122.4166212,9,Mission,Mission,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Multifamily Rental Program,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4166212 37.7489217)
